dataset,model,folds,auc_mean,auc_sample_std,acc_mean,acc_sample_std,window_auc_mean,window_auc_sample_std,window_acc_mean,window_acc_sample_std,calibration_status,evidence_tier
nips_task34,fluckt,5,0.806469,0.000713,0.73494,0.000862,0.8088,0.000666,0.736958,0.000978,not_materialized_in_matrix,v16_strict_5of5
nips_task34,folibikt,5,0.8056739986120794,0.0003047357253207824,0.7335783455839459,0.000759439763353701,0.8078879229922705,0.00030118952102245916,0.7355902512774664,0.0008949920200620293,pass,strict_uniform_evaluator_prediction_audited_5of5
nips_task34,qikt,5,0.8027480303899759,0.00044198989632147434,0.7314152858249992,0.00047750713294292875,0.804391206252889,0.000417861713026895,0.7329573672070719,0.00038075291713080223,pass,strict_uniform_evaluator_prediction_audited_5of5
nips_task34,sakt,5,0.747161,0.001053,0.682991,0.000938,0.744529,0.00101,0.680983,0.001395,not_materialized_in_matrix,v16_strict_5of5
nips_task34,simplekt,5,0.802279,0.000347,0.731513,0.000412,0.80423,0.000257,0.733328,0.000486,not_materialized_in_matrix,v16_strict_5of5
nips_task34,ukt,5,0.8057277264897481,0.0005102047640825245,0.7332531209893828,0.0006972350731460785,0.8079068689532853,0.0005292031155001345,0.7352660691830757,0.0006971547576071072,pass,mixed_evaluator_semantic_audited_strict_5of5
slepemapy,akt,5,0.8001629519148421,0.0004648993627927845,0.8033943573845447,0.0008441387553780611,0.8042725725674649,0.00042540592306909437,0.8046219367803469,0.000788685520383478,pass,strict_uniform_evaluator_prediction_audited_5of5
slepemapy,dkt,5,0.78385,0.000288,0.797203,8.1e-05,0.786415,0.000291,0.79766,0.000132,not_materialized_in_matrix,v16_strict_5of5
slepemapy,dkt+,5,0.7865701085927094,0.00047746886667479415,0.7982605006793575,0.00023802890147264658,0.7891842919544095,0.00047767685986700324,0.7987372226471873,0.00023986604254122362,pass,strict_uniform_evaluator_prediction_audited_5of5
slepemapy,sakt,5,0.7712411530150336,0.0004703272227053514,0.7917211536319806,0.00031220423958383,0.7719817216009373,0.00040528542013131875,0.7914674422068562,0.00019270444963627854,pass,strict_uniform_evaluator_prediction_audited_5of5
slepemapy,simplekt,5,0.7941924008569935,0.0004192222390330043,0.8010208586025283,0.00017200739734883817,0.7971791620068105,0.0004587922963177976,0.8013869849612861,0.00017372721266402296,pass,strict_uniform_evaluator_prediction_audited_5of5
statics2011,acekt,5,0.809976,0.002144,0.789348,0.001157,0.810983,0.001266,0.788128,0.001151,not_materialized_in_matrix,v16_strict_5of5
statics2011,akt,5,0.82768,0.001827,0.799565,0.000801,0.830634,0.001569,0.801771,0.001135,not_materialized_in_matrix,v16_strict_5of5
statics2011,dkt,5,0.820605,0.001642,0.796952,0.00049,0.821992,0.001682,0.79729,0.000304,not_materialized_in_matrix,v16_strict_5of5
statics2011,dkt+,5,0.825382,0.000578,0.796861,0.000967,0.827628,0.000828,0.79746,0.000826,not_materialized_in_matrix,v16_strict_5of5
statics2011,sakt,5,0.791061,0.003281,0.785362,0.000825,0.796306,0.001778,0.788293,0.00164,not_materialized_in_matrix,v16_strict_5of5
statics2011,simplekt,5,0.818371,0.000511,0.793985,0.00231,0.819544,0.001016,0.795547,0.003486,not_materialized_in_matrix,v16_strict_5of5
statics2011,ukt,5,0.822622,0.001679,0.796341,0.002362,0.823934,0.001224,0.796999,0.001699,not_materialized_in_matrix,v16_strict_5of5
